Year,Month,Day,Intensity,Start,Peak Time,End,Event #,Max Drop,Lat,Lon,dist.R,AR#,Count,Flare
Year,Month,Day,intensity,start, peak,end,event #,max_drop,lat,lon,dist.R,AR#,count,flare
2015,11, 8,-66,6:28,6:30,7:00,8769,97,,,1.09,,25,
2015,11, 7,-26,5:34,5:34,6:04,8768,55,,,,AR 2447,24,C2
2015,11, 5,-57,12:02,12:02,12:28,8767,34,24,16,0.43,AR 2443,22,B4
2015,11, 4,-655,13:42,13:52,14:40,8766,493,10,2,0.1,AR 2443,38,M2
2015,11, 4,-96,12:10,12:14,12:46,8765,151,10,76,0.98,AR 2445,27,M3
2015,11, 4,-235,3:34,3:36,4:10,8764,388,7,72,0.96,AR 2445,27,M3
2015,11, 4,-297,1:12,1:26,2:20,8763,225,15,48,0.76,AR 2445,43,
2015,11, 4,-6,0:42,0:42,1:08,8762,14,,,,AR 2443,22,C1
2015,11, 2,-461,20:42,21:04,21:40,8761,171,,,1.09,,37,
2015,11, 1,-122,21:34,21:38,22:14,8760,76,18,15,0.35,AR 2441,29,
2015,11, 1,-146,19:56,20:00,20:34,8759,85,14,20,0.38,AR 2441,28,C4
2015,10,29,-156,2:28,2:28,2:58,8758,196,,,1.14,,24,
2015,10,29,-109,1:16,1:18,1:44,8757,81,17,28,0.51,AR 2440,20,
2015,10,28,-59,9:58,10:02,10:28,8756,77,,,1.09,,24,
2015,10,28,-43,6:44,6:44,7:10,8755,50,,,1.08,,22,
2015,10,27,-194,21:56,22:02,22:38,8754,85,,,1.05,,30,
2015,10,27,-26,11:40,11:40,12:06,8753,32,,,1.06,,22,
2015,10,27,-43,10:44,10:46,11:12,8752,24,,,1.06,,23,
2015,10,26,-169,10:36,10:36,11:20,8751,81,-21,54,0.86,AR 2435,31,C1
2015,10,25,-147,17:24,17:44,18:10,8750,37,16,-46,0.73,AR 2439,32,
2015,10,23,-50,14:38,14:38,15:08,8749,77,-2,2,0.13,AR 2436,24,B6
2015,10,22,-68,10:24,10:24,10:48,8748,156,-5,-8,0.23,AR 2436,21,
2015,10,22,"-1,116",1:38,2:46,4:08,8747,116,-14,27,0.56,AR 2434,84,
2015,10,21,-35,23:24,23:26,23:56,8746,13,,,,AR 2435,25,
2015,10,21,-418,18:00,18:10,19:24,8745,161,3,-16,0.29,AR 2436,51,C6
2015,10,21,-113,12:08,12:20,13:06,8744,41,-3,-22,0.41,AR 2436,38,C1
2015,10,21,-5,5:56,5:56,6:20,8743,38,,,,AR 2435,21,C2
2015,10,21,-2,4:46,4:46,5:14,8742,7,,,,AR 2435,23,C3
2015,10,21,-84,0:20,0:40,1:04,8741,41,-5,-32,0.56,AR 2436,31,C2
2015,10,16,-103,18:34,18:34,19:02,8740,171,,,1.2,,23,B4
2015,10,16,-8,13:50,13:50,14:20,8739,5,,,,AR 2431,24,C3
2015,10,16,-58,12:58,13:00,13:38,8738,22,,,1.2,,29,C2
2015,10,16,-137,6:22,6:22,6:58,8737,158,-21,-37,0.72,AR 2434,27,M1
2015,10,15,-29,23:38,23:38,0:02,8736,42,-27,-62,0.94,AR 2434,21,C9
